,0
id,0.0
member_id,0.0
loan_amnt,0.0
funded_amnt,0.0
funded_amnt_inv,0.0
term,0.0
int_rate,0.0
installment,0.0
grade,0.0
sub_grade,0.0
emp_title,6.480987680657031
emp_length,3.4184843475014666
home_ownership,0.0
annual_inc,0.0053330489040584505
verification_status,0.0
issue_d,0.0
loan_status,0.0
pymnt_plan,0.0
url,0.0
desc,34.83814196576183
purpose,0.0
title,0.013332622260146126
zip_code,0.0
addr_state,0.0
dti,0.0
delinq_2yrs,0.03866460455442376
earliest_cr_line,0.03866460455442376
inq_last_6mths,0.03866460455442376
mths_since_last_delinq,60.59010186123407
mths_since_last_record,94.40563169964268
open_acc,0.03866460455442376
pub_rec,0.03866460455442376
revol_bal,0.0
revol_util,0.1693243027038558
total_acc,0.03866460455442376
initial_list_status,0.0
out_prncp,0.0
out_prncp_inv,0.0
total_pymnt,0.0
total_pymnt_inv,0.0
total_rec_prncp,0.0
total_rec_int,0.0
total_rec_late_fee,0.0
recoveries,0.0
collection_recovery_fee,0.0
last_pymnt_d,0.15465841821769505
last_pymnt_amnt,0.0
next_pymnt_d,96.56551650578635
last_credit_pull_d,0.0053330489040584505
collections_12_mths_ex_med,0.19332302277211882
mths_since_last_major_derog,94.08564876539917
policy_code,100.0
application_type,0.0
annual_inc_joint,100.0
dti_joint,100.0
verification_status_joint,100.0
acc_now_delinq,0.03866460455442376
tot_coll_amt,72.10815423177431
tot_cur_bal,72.10815423177431
open_acc_6m,100.0
open_il_6m,100.0
open_il_12m,100.0
open_il_24m,100.0
mths_since_rcnt_il,100.0
total_bal_il,100.0
il_util,100.0
open_rv_12m,100.0
open_rv_24m,100.0
max_bal_bc,100.0
all_util,100.0
total_rev_hi_lim,72.10815423177431
inq_fi,100.0
total_cu_tl,100.0
inq_last_12m,100.0
