cid,name,type,notnull,dflt_value,pk
0,index,BIGINT,0,,0
1,id,TEXT,0,,0
2,member_id,FLOAT,0,,0
3,loan_amnt,FLOAT,0,,0
4,funded_amnt,FLOAT,0,,0
5,funded_amnt_inv,FLOAT,0,,0
6,term,TEXT,0,,0
7,int_rate,TEXT,0,,0
8,installment,FLOAT,0,,0
9,grade,TEXT,0,,0
10,sub_grade,TEXT,0,,0
11,emp_title,TEXT,0,,0
12,emp_length,TEXT,0,,0
13,home_ownership,TEXT,0,,0
14,annual_inc,FLOAT,0,,0
15,verification_status,TEXT,0,,0
16,issue_d,TEXT,0,,0
17,loan_status,TEXT,0,,0
18,pymnt_plan,TEXT,0,,0
19,url,TEXT,0,,0
20,desc,TEXT,0,,0
21,purpose,TEXT,0,,0
22,title,TEXT,0,,0
23,zip_code,TEXT,0,,0
24,addr_state,TEXT,0,,0
25,dti,FLOAT,0,,0
26,delinq_2yrs,FLOAT,0,,0
27,earliest_cr_line,TEXT,0,,0
28,inq_last_6mths,FLOAT,0,,0
29,mths_since_last_delinq,FLOAT,0,,0
30,mths_since_last_record,FLOAT,0,,0
31,open_acc,FLOAT,0,,0
32,pub_rec,FLOAT,0,,0
33,revol_bal,FLOAT,0,,0
34,revol_util,TEXT,0,,0
35,total_acc,FLOAT,0,,0
36,initial_list_status,TEXT,0,,0
37,out_prncp,FLOAT,0,,0
38,out_prncp_inv,FLOAT,0,,0
39,total_pymnt,FLOAT,0,,0
40,total_pymnt_inv,FLOAT,0,,0
41,total_rec_prncp,FLOAT,0,,0
42,total_rec_int,FLOAT,0,,0
43,total_rec_late_fee,FLOAT,0,,0
44,recoveries,FLOAT,0,,0
45,collection_recovery_fee,FLOAT,0,,0
46,last_pymnt_d,TEXT,0,,0
47,last_pymnt_amnt,FLOAT,0,,0
48,next_pymnt_d,TEXT,0,,0
49,last_credit_pull_d,TEXT,0,,0
50,collections_12_mths_ex_med,FLOAT,0,,0
51,mths_since_last_major_derog,FLOAT,0,,0
52,policy_code,FLOAT,0,,0
53,application_type,TEXT,0,,0
54,annual_inc_joint,FLOAT,0,,0
55,dti_joint,FLOAT,0,,0
56,verification_status_joint,TEXT,0,,0
57,acc_now_delinq,FLOAT,0,,0
58,tot_coll_amt,FLOAT,0,,0
59,tot_cur_bal,FLOAT,0,,0
60,open_acc_6m,FLOAT,0,,0
61,open_il_6m,FLOAT,0,,0
62,open_il_12m,FLOAT,0,,0
63,open_il_24m,FLOAT,0,,0
64,mths_since_rcnt_il,FLOAT,0,,0
65,total_bal_il,FLOAT,0,,0
66,il_util,FLOAT,0,,0
67,open_rv_12m,FLOAT,0,,0
68,open_rv_24m,FLOAT,0,,0
69,max_bal_bc,FLOAT,0,,0
70,all_util,FLOAT,0,,0
71,total_rev_hi_lim,FLOAT,0,,0
72,inq_fi,FLOAT,0,,0
73,total_cu_tl,FLOAT,0,,0
74,inq_last_12m,FLOAT,0,,0
